Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 333-CI-DF100030 , 3D Dental Designs & Development , 333-CI-DF100030 ,Dream Ultrasonic Insert 30K DF-1000 Triple Bend,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-30K-DF-1000-Triple-Bend,https://www.dcdental.com/images/857368840812.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 333-CI-DF1025 , 3D Dental Designs & Development , 333-CI-DF1025 ,Dream Ultrasonic Insert 25K DF-10 Universal,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-25K-DF-10-Universal,https://www.dcdental.com/images/745713282083.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 648-24-7376839 ," J Morita USA, Inc. ", 648-24-7376839 ,Lubrina 2 Door Oil Absorption Sheet 5/Pk,"Lubrina 2 Door Oil Absorption Sheet 5/Pk

", Supplies ,Handpieces,Pk,5,https://www.dcdental.com/Lubrina-2-Accessories-24-7376839,https://www.dcdental.com/images/505285328516.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 333-CI-DF1030 , 3D Dental Designs & Development , 333-CI-DF1030 ,Dream Ultrasonic Insert 30K DF-10 Universal,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-30K-DF-10-Universal,https://www.dcdental.com/images/180082114830.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 648-24-7376847 ," J Morita USA, Inc. ", 648-24-7376847 ,Lubrina 2 Oil Absorption Sheet 5/pk,"Lubrina 2 Oil Absorption Sheet 5/pk

", Supplies ,Handpieces,pk,5,https://www.dcdental.com/Lubrina-2-Accessories-24-7376847,https://www.dcdental.com/images/658335776451.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-WPXXFBB , EC Moore , 144-BC-34-WPXXFBB ,"Paper Discs Brass Center 3/4"" Waterproof XX-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Paper-Discs-Brass-Center-BC-34-WPXXFBB,https://www.dcdental.com/images/848145670326.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-0362 , Shofu Dental Corp. , 145-0362 ,Hardie Polishers HP Black PC2 12/Pk,"  * These silicone polishers contain high-quality abrasive materials for polishing hard palladium, nickel-chrome, and cobalt-chrome alloys.
  * Hard and non-precious alloys

", Supplies ,Finishing & Polishing,Pk,12,https://www.dcdental.com/Hardie-Polishers-362,https://www.dcdental.com/images/525750777069.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-GXFPBB , EC Moore , 144-BC-34-GXFPBB ,"Plastic Discs Brass Center Garnet X-Fine 3/4"" 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-GXFPBB,https://www.dcdental.com/images/824482481658.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-0361 , Shofu Dental Corp. , 145-0361 ,Hardie Polishers HP Brown FL2 12/Pk,"  * These silicone polishers contain high-quality abrasive materials for polishing hard palladium, nickel-chrome, and cobalt-chrome alloys.
  * Hard and non-precious alloys

", Supplies ,Finishing & Polishing,Pk,12,https://www.dcdental.com/Hardie-Polishers-361,https://www.dcdental.com/images/803370011313.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-0363 , Shofu Dental Corp. , 145-0363 ,Hardie Polishers HP Brown PC2 12/Pk,"These silicone polishers contain high-quality abrasive materials for polishing
hard palladium, nickel-chrome, and cobalt-chrome alloys.

", Supplies ,Finishing & Polishing,Pk,12,https://www.dcdental.com/Hardie-Polishers-363,https://www.dcdental.com/images/702035243550.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-SFPBB , EC Moore , 144-BC-78-SFPBB ,"Plastic Discs Brass Center 7/8"" Sand Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-78-SFPBB,https://www.dcdental.com/images/114102026322.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-WPXXFBB , EC Moore , 144-BC-58-WPXXFBB ,"Paper Discs Brass Center 5/8"" Waterproof XX-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Paper-Discs-Brass-Center-BC-58-WPXXFBB,https://www.dcdental.com/images/166557144113.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-WPMFBB , EC Moore , 144-BC-78-WPMFBB ,"Paper Discs Brass Center 7/8"" Waterproof Micro-Fine 200/Pk","

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Paper-Discs-Brass-Center-BC-78-WPMFBB,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-WPMFBB , EC Moore , 144-BC-34-WPMFBB ,"Paper Discs Brass Center 3/4"" Waterproof Micro-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Paper-Discs-Brass-Center-BC-34-WPMFBB,https://www.dcdental.com/images/157133571256.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-WPMFBB , EC Moore , 144-BC-58-WPMFBB ,"Paper Discs Brass Center 5/8"" Waterproof Micro-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Paper-Discs-Brass-Center-BC-58-WPMFBB,https://www.dcdental.com/images/328426411317.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-SCPBB , EC Moore , 144-BC-78-SCPBB ,"Plastic Discs Brass Center 7/8"" Sand Coarse 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-78-SCPBB,https://www.dcdental.com/images/728145508716.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-SCPBB , EC Moore , 144-BC-34-SCPBB ,"Plastic Discs Brass Center 3/4"" Sand Coarse 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-SCPBB,https://www.dcdental.com/images/474378526002.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-SCPBB , EC Moore , 144-BC-58-SCPBB ,"Plastic Discs Brass Center 5/8"" Sand Coarse 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-58-SCPBB,https://www.dcdental.com/images/220306152382.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-SFPBB , EC Moore , 144-BC-58-SFPBB ,"Plastic Discs Brass Center 5/8"" Sand Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-58-SFPBB,https://www.dcdental.com/images/437754806112.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-SMPBB , EC Moore , 144-BC-78-SMPBB ,"Plastic Discs Brass Center 7/8"" Sand Medium 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-78-SMPBB,https://www.dcdental.com/images/612214254621.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-SMPBB , EC Moore , 144-BC-34-SMPBB ,"Plastic Discs Brass Center 3/4"" Sand Medium 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-SMPBB,https://www.dcdental.com/images/506855234084.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-SMPBB , EC Moore , 144-BC-58-SMPBB ,"Plastic Discs Brass Center 5/8"" Sand Medium 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-58-SMPBB,https://www.dcdental.com/images/338274005644.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-SFPBB , EC Moore , 144-BC-34-SFPBB ,"Plastic Discs Brass Center 3/4"" Sand Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-SFPBB,https://www.dcdental.com/images/715414673800.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-SXFPBB , EC Moore , 144-BC-78-SXFPBB ,"Plastic Discs Brass Center 7/8"" Sand X-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-78-SXFPBB,https://www.dcdental.com/images/538452001646.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-78-GCPBB , EC Moore , 144-BC-78-GCPBB ,"Plastic Discs Brass Center Garnet Coarse 7/8"" 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-78-GCPBB,https://www.dcdental.com/images/822430117611.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-SXFPBB , EC Moore , 144-BC-34-SXFPBB ,"Plastic Discs Brass Center 3/4"" Sand X-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-SXFPBB,https://www.dcdental.com/images/602771502167.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-58-SXFPBB , EC Moore , 144-BC-58-SXFPBB ,"Plastic Discs Brass Center 5/8"" Sand X-Fine 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes: 1/2"", 5/8"", 3/4"" and 7/8"".

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-58-SXFPBB,https://www.dcdental.com/images/504226486520.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-BC-34-GCPBB , EC Moore , 144-BC-34-GCPBB ,"Plastic Discs Brass Center Garnet Coarse 3/4"" 200/Pk","Moore's Brass Center Discs have been the industry standard since 1898. They
snap on and off quickly and easily, with no screws to drop or lose. Moore's
discs can be used with the grit side in or out and won't come off with the
reversal of the handpiece. Moore's Discs are available in paper, waterproof,
adalox and MoorPlastic, in four sizes.

", Supplies ,Finishing & Polishing,Pk,200,https://www.dcdental.com/Plastic-Discs-Brass-Center-BC-34-GCPBB,https://www.dcdental.com/images/457231383349.01.png?resizeid=2&resizeh=600&resizew=600
